time,open,high,low,close,tick_volume,spread,real_volume
2021-01-28,1511.96,1612.57,1498.13,1603.69,42756,42,0
2021-01-29,1602.96,1652.53,1490.76,1531.23,42743,42,0
2021-01-30,1531.16,1628.76,1503.7,1613.13,42798,43,0
2021-01-31,1613.31,1646.35,1529.87,1564.86,42764,40,0
2021-02-01,1564.92,1669.61,1524.07,1606.17,42791,43,0
2021-02-02,1605.85,1684.27,1570.04,1654.64,42786,43,0
2021-02-03,1654.53,1736.75,1603.01,1628.62,42789,43,0
2021-02-04,1628.85,1769.87,1601.56,1767.37,42809,43,0
2021-02-05,1767.33,1881.14,1753.78,1869.81,42825,43,0
2021-02-06,1869.95,1936.33,1823.86,1914.49,42817,47,0
2021-02-07,1914.27,1960.58,1876.58,1879.59,42861,47,0
2021-02-08,1880.03,1925.19,1790.07,1841.76,42841,47,0
2021-02-09,1842.15,1913.07,1774.9,1883.99,42862,47,0
2021-02-10,1884.69,1922.24,1778.24,1778.58,42826,47,0
2021-02-11,1779.13,1994.86,1769.79,1966.88,42829,47,0
2021-02-12,1966.44,2186.2,1960.88,2175.49,42882,47,0
2021-02-13,2174.49,2234.19,2131.85,2212.9,42917,54,0
2021-02-14,2213.61,2397.92,2147.16,2343.08,42862,54,0
2021-02-15,2342.98,2580.45,2336.43,2465.73,42898,54,0
2021-02-16,2465.15,2537.37,2351.85,2529.36,42928,54,0
2021-02-17,2529.41,2585.31,2261.6,2300.22,42932,54,0
2021-02-18,2298.73,2403.35,2232.52,2386.02,42897,54,0
2021-02-19,2385.97,2475.07,2311.17,2421.92,42923,54,0
2021-02-20,2421.3,2658.3,2360.88,2486.28,42942,64,0
2021-02-21,2486.29,2604.43,2481.39,2594.09,42959,60,0
2021-02-22,2593.76,2599.14,2272.83,2333.06,42899,64,0
2021-02-23,2333.59,2466.66,2273.88,2447.45,42903,60,0
2021-02-24,2447.74,2667.45,2427.68,2653.45,42915,60,0
2021-02-25,2652.81,2701.82,2427.52,2437.62,42940,60,0
2021-02-26,2437.3,2634.12,2393.62,2632.48,42955,60,0
2021-02-27,2631.44,2817.31,2629.09,2666.9,42924,60,0
2021-02-28,2667.75,2669.16,2386.6,2477.04,42922,60,0
2021-03-01,2477.39,2491.68,2301.11,2373.73,42915,60,0
2021-03-02,2373.74,2429.03,2308.74,2361.31,42929,60,0
2021-03-03,2359.45,2492.12,2321.19,2473.13,42899,63,0
2021-03-04,2473.89,2503.65,2227.6,2244.52,42914,63,0
2021-03-05,2244.47,2421.65,2200.59,2373.24,42900,58,0
2021-03-06,2373.97,2570.9,2369.46,2504.82,42944,58,0
2021-03-07,2503.72,2564.85,2417.79,2443.68,42938,58,0
2021-03-08,2443.78,2450.26,2294.67,2337.29,41544,58,0
2021-03-09,2337.76,2555.98,2336.6,2532.5,42921,58,0
2021-03-10,2531.95,2542.68,2315.84,2328.94,42938,58,0
2021-03-11,2328.95,2419.11,2246.49,2320.01,42900,58,0
2021-03-12,2320.11,2503.91,2234.57,2500.75,42904,58,0
2021-03-13,2501.93,2665.14,2482.98,2589.92,42949,60,0
2021-03-14,2590.77,2730.88,2539.76,2625.67,42946,60,0
2021-03-15,2625.23,2784.52,2575.19,2764.98,42937,60,0
2021-03-16,2765.37,2823.58,2668.99,2679.5,42940,61,0
2021-03-17,2679.79,2855.46,2561.86,2769.65,42944,61,0
2021-03-18,2769.93,2816.81,2651.52,2794.47,42978,60,0
2021-03-19,2795.25,2923.83,2708.4,2726.53,42934,61,0
2021-03-20,2726.62,2981.82,2684.53,2936.98,42957,74,0
2021-03-21,2936.78,3324.76,2834.4,3189.66,42983,74,0
2021-03-22,3190.17,3190.97,2985.73,3056.01,43009,74,0
2021-03-23,3055.45,3246.02,2958.63,2967.87,41413,74,0
2021-03-24,2967.34,3128.94,2904.6,3089.39,42963,74,0
2021-03-25,3089.35,3118.03,2893.92,2993.11,42985,74,0
2021-03-26,2993.72,3017.79,2820.54,2938.57,42987,74,0
2021-03-27,2937.9,3043.0,2859.75,2869.39,42991,79,0
2021-03-28,2869.45,2897.92,2720.22,2764.73,42953,79,0
2021-03-29,2765.17,2897.24,2689.52,2873.54,42962,79,0
2021-03-30,2873.08,3030.09,2808.33,2820.63,42973,79,0
2021-03-31,2821.02,3013.71,2745.2,3008.18,42977,79,0
2021-04-01,3008.66,3365.92,2987.56,3358.62,43000,79,0
2021-04-02,3357.35,3542.23,3246.62,3383.37,42988,79,0
2021-04-03,3383.04,3517.38,3317.63,3451.85,43018,87,0
