time,open,high,low,close,tick_volume,spread,real_volume
2023-09-17,1946.05,1954.29,1826.94,1857.49,42709,43,0
2023-09-18,1858.25,1923.0,1790.49,1914.06,42815,43,0
2023-09-19,1914.35,1945.8,1665.36,1666.11,42849,43,0
2023-09-20,1666.77,1672.33,1434.96,1477.17,42596,43,0
2023-09-21,1477.53,1533.02,1408.9,1436.39,42711,43,0
2023-09-22,1436.56,1500.17,1389.63,1460.81,42752,36,0
2023-09-23,1460.7,1464.03,1344.12,1347.65,42712,36,0
2023-09-24,1347.65,1401.45,1313.91,1370.55,42716,36,0
2023-09-25,1370.28,1392.64,1225.87,1230.58,42658,36,0
2023-09-26,1230.43,1275.72,1189.46,1246.01,42669,36,0
2023-09-27,1246.24,1272.15,1188.42,1245.54,42624,36,0
2023-09-28,1245.44,1301.44,1205.73,1249.85,42654,36,0
2023-09-29,1249.69,1282.4,1206.75,1218.95,42674,30,0
2023-09-30,1219.54,1313.68,1193.22,1261.94,42681,30,0
2023-10-01,1261.81,1302.97,1195.44,1245.64,42709,30,0
2023-10-02,1245.8,1282.77,1212.86,1253.98,42699,30,0
2023-10-03,1253.91,1324.53,1250.93,1307.7,42712,30,0
2023-10-04,1307.62,1381.62,1281.63,1348.16,42695,30,0
2023-10-05,1348.36,1440.56,1298.42,1426.41,42646,30,0
2023-10-06,1426.89,1480.84,1366.12,1463.05,42762,30,0
2023-10-07,1462.46,1533.6,1438.38,1482.95,42754,34,0
2023-10-08,1482.28,1546.72,1349.11,1367.36,42763,34,0
2023-10-09,1367.44,1446.55,1294.83,1344.89,42713,34,0
2023-10-10,1345.23,1358.46,1270.4,1297.41,42655,34,0
2023-10-11,1297.4,1393.79,1265.95,1317.23,42701,34,0
2023-10-12,1317.27,1354.58,1294.81,1299.35,42669,34,0
2023-10-13,1299.55,1318.72,1249.48,1308.79,42679,30,0
2023-10-14,1308.81,1361.39,1254.66,1313.99,42736,30,0
2023-10-15,1313.57,1381.88,1274.91,1283.12,42590,30,0
2023-10-16,1283.23,1306.58,1234.85,1236.84,42669,30,0
2023-10-17,1237.0,1390.73,1236.06,1364.28,42682,30,0
2023-10-18,1364.1,1399.59,1336.32,1347.83,42706,30,0
2023-10-19,1347.8,1376.3,1319.98,1367.47,42705,30,0
2023-10-20,1366.86,1375.75,1278.09,1289.94,42709,30,0
2023-10-21,1289.79,1462.58,1278.42,1391.2,42725,32,0
2023-10-22,1390.82,1450.59,1378.44,1425.36,42702,32,0
2023-10-23,1425.48,1561.57,1395.43,1474.91,42741,32,0
2023-10-24,1475.23,1498.01,1414.34,1443.05,42152,32,0
2023-10-25,1443.46,1497.36,1424.24,1450.6,42763,32,0
2023-10-26,1450.04,1466.85,1364.09,1382.49,42688,32,0
2023-10-27,1382.53,1428.77,1331.95,1366.14,42691,32,0
2023-10-28,1366.15,1472.54,1361.85,1467.17,42719,33,0
2023-10-29,1466.85,1474.53,1335.28,1347.41,42693,33,0
2023-10-30,1347.21,1550.0,1329.86,1549.04,42758,33,0
2023-10-31,1549.17,1623.39,1523.01,1546.77,42766,33,0
2023-11-01,1546.32,1671.37,1490.36,1666.51,42772,33,0
2023-11-02,1666.76,1836.15,1645.53,1773.44,42819,33,0
2023-11-03,1773.78,1937.58,1771.24,1937.19,42802,33,0
2023-11-04,1937.42,1953.74,1763.52,1796.71,42841,43,0
2023-11-05,1796.85,1863.04,1738.27,1844.22,42828,43,0
2023-11-06,1843.84,1912.47,1800.53,1896.75,42855,43,0
2023-11-07,1896.69,2019.66,1870.34,1934.29,42852,43,0
2023-11-08,1933.5,1949.02,1795.63,1819.07,42842,43,0
2023-11-09,1818.8,1997.56,1773.05,1976.22,42837,43,0
2023-11-10,1977.06,2055.39,1964.76,1971.39,42875,43,0
2023-11-11,1970.54,1989.86,1893.8,1949.6,42878,49,0
2023-11-12,1949.37,2023.31,1908.04,1953.48,42821,49,0
2023-11-13,1953.96,2010.59,1773.18,1848.85,42856,49,0
2023-11-14,1848.8,1867.97,1752.38,1783.46,42847,49,0
2023-11-15,1784.68,1888.91,1734.6,1763.77,42860,49,0
2023-11-16,1763.47,1902.14,1740.42,1888.8,42838,49,0
2023-11-17,1889.23,2082.96,1875.83,2080.77,42876,47,0
2023-11-18,2080.3,2084.22,1997.26,2037.4,42860,47,0
2023-11-19,2038.18,2096.61,1977.39,2045.87,42789,47,0
2023-11-20,2045.53,2197.49,2037.23,2120.73,42899,47,0
2023-11-21,2120.94,2234.49,2098.57,2211.45,42888,47,0
2023-11-22,2210.75,2360.0,2145.36,2165.27,42884,47,0
2023-11-23,2165.72,2172.59,2022.77,2129.29,42871,47,0
2023-11-24,2129.44,2189.62,2039.05,2118.48,42875,47,0
2023-11-25,2117.54,2277.84,2104.38,2135.89,42870,51,0
2023-11-26,2136.34,2193.93,2088.44,2117.03,42880,51,0
2023-11-27,2115.95,2145.72,1998.79,2112.39,42884,51,0
2023-11-28,2112.57,2198.18,2035.01,2173.18,42486,51,0
2023-11-29,2172.62,2200.69,2031.02,2102.09,42906,51,0
2023-11-30,2101.1,2145.71,2012.57,2145.71,42900,51,0
2023-12-01,2145.31,2206.87,2017.91,2082.89,42885,51,0
2023-12-02,2082.55,2246.19,2070.06,2144.82,42887,51,0
2023-12-03,2144.89,2275.09,2119.69,2219.67,42920,51,0
2023-12-04,2219.11,2457.27,2218.89,2358.94,42917,51,0
2023-12-05,2358.82,2366.02,2183.22,2320.09,42895,51,0
2023-12-06,2319.29,2415.21,2217.23,2377.17,42903,51,0
2023-12-07,2376.56,2438.99,2280.61,2290.37,42926,51,0
2023-12-08,2290.26,2293.77,2129.2,2158.37,42901,51,0
2023-12-09,2158.59,2190.07,2026.85,2048.08,42866,52,0
2023-12-10,2047.28,2070.54,1922.62,2053.8,42757,52,0
2023-12-11,2053.98,2203.38,2035.54,2155.01,42910,52,0
2023-12-12,2154.6,2203.9,2097.1,2098.09,42916,52,0
2023-12-13,2097.79,2165.93,2035.07,2090.15,42865,52,0
2023-12-14,2090.6,2211.1,2072.57,2174.9,42884,52,0
2023-12-15,2174.86,2544.92,2160.0,2543.68,42901,52,0
2023-12-16,2542.54,2597.46,2462.58,2504.28,42957,56,0
2023-12-17,2504.53,2529.73,2350.94,2382.94,42827,56,0
2023-12-18,2383.39,2447.27,2302.88,2338.51,42940,56,0
2023-12-19,2338.73,2435.97,2306.38,2357.32,42909,56,0
2023-12-20,2357.69,2384.87,2281.11,2343.98,42927,56,0
2023-12-21,2345.01,2585.45,2311.69,2563.94,42963,56,0
2023-12-22,2563.72,2688.93,2512.67,2674.14,42936,56,0
2023-12-23,2673.45,2937.67,2604.32,2855.78,42969,61,0
2023-12-24,2855.75,3035.98,2822.76,2988.17,42967,61,0
2023-12-25,2987.75,2992.04,2646.81,2828.92,42946,61,0
2023-12-26,2826.81,2848.94,2671.75,2827.52,42941,61,0
2023-12-27,2827.64,2914.95,2699.71,2775.52,42971,61,0
2023-12-28,2775.83,2851.81,2701.12,2791.87,42927,61,0
2023-12-29,2793.21,2844.96,2648.58,2684.43,42962,61,0
2023-12-30,2684.98,2718.74,2468.1,2477.89,42927,68,0
2023-12-31,2478.22,2567.56,2250.02,2264.93,42937,68,0
2024-01-01,2264.7,2465.56,2210.59,2461.51,42905,68,0
2024-01-02,2460.65,2476.55,2342.06,2409.25,42915,68,0
2024-01-03,2409.3,2415.94,2065.29,2106.61,42893,68,0
2024-01-04,2106.87,2220.11,2053.75,2199.44,42906,68,0
2024-01-05,2200.23,2321.0,2183.75,2313.91,42914,53,0
2024-01-06,2314.12,2355.69,2193.34,2265.61,42907,53,0
2024-01-07,2266.0,2268.53,2077.69,2123.0,42903,53,0
2024-01-08,2122.07,2256.27,2105.62,2214.58,42879,53,0
2024-01-09,2215.33,2357.56,2188.28,2288.98,42907,53,0
2024-01-10,2288.24,2305.63,2132.97,2139.35,42883,53,0
2024-01-11,2138.88,2195.53,2100.42,2153.92,42899,53,0
2024-01-12,2153.65,2215.3,2064.37,2146.79,42882,50,0
2024-01-13,2147.05,2176.69,2062.45,2067.74,42890,50,0
2024-01-14,2067.73,2164.15,2036.12,2079.99,42788,50,0
2024-01-15,2080.35,2091.36,1955.45,1975.82,42609,50,0
2024-01-16,1975.64,2082.48,1930.56,1942.42,42824,50,0
2024-01-17,1942.63,2029.39,1900.35,2006.24,42898,50,0
2024-01-18,2005.98,2084.48,1846.28,1874.65,42872,50,0
2024-01-19,1874.76,1916.98,1765.65,1895.95,42832,45,0
2024-01-20,1895.62,1899.34,1733.72,1753.25,42825,45,0
2024-01-21,1753.16,1833.56,1671.63,1677.7,42815,45,0
2024-01-22,1678.27,1711.31,1619.34,1703.2,42786,45,0
2024-01-23,1702.35,1810.09,1682.95,1748.6,42822,45,0
2024-01-24,1748.91,1773.3,1618.12,1713.73,42825,45,0
2024-01-25,1713.65,1830.08,1688.84,1696.27,42835,45,0
2024-01-26,1696.23,1894.28,1643.7,1892.58,42809,41,0
2024-01-27,1893.13,1966.04,1856.6,1915.67,42844,41,0
2024-01-28,1915.46,2079.81,1912.05,2027.81,42878,41,0
2024-01-29,2027.95,2038.37,1783.5,1852.23,42857,41,0
2024-01-30,1851.79,1898.38,1742.05,1760.6,42400,41,0
2024-01-31,1760.39,1830.08,1735.33,1785.18,42829,41,0
2024-02-01,1785.09,1806.04,1618.53,1636.62,42809,41,0
2024-02-02,1636.78,1669.89,1564.73,1608.96,42772,41,0
2024-02-03,1608.14,1645.64,1552.25,1604.76,42780,41,0
2024-02-04,1604.77,1650.1,1578.32,1615.62,42821,41,0
2024-02-05,1615.53,1667.21,1565.32,1567.03,42769,41,0
2024-02-06,1566.67,1633.06,1490.75,1546.83,42761,41,0
2024-02-07,1546.95,1599.58,1479.7,1584.65,42770,41,0
2024-02-08,1584.49,1674.65,1520.07,1660.45,42762,41,0
2024-02-09,1660.48,1776.9,1632.78,1760.61,42850,41,0
2024-02-10,1760.22,1815.6,1708.01,1748.16,42818,42,0
2024-02-11,1749.12,1880.39,1678.01,1838.51,42840,42,0
2024-02-12,1839.18,2041.12,1813.86,1994.4,42846,42,0
2024-02-13,1994.07,2079.25,1932.38,1989.88,42851,45,0
2024-02-14,1989.47,2035.53,1918.97,1988.09,42836,45,0
2024-02-15,1987.06,2067.84,1969.23,1971.48,42846,45,0
2024-02-16,1971.11,2046.65,1936.92,1958.87,42852,45,0
2024-02-17,1959.22,2062.78,1858.13,1868.46,42889,53,0
2024-02-18,1868.04,1875.18,1710.3,1852.02,42718,53,0
2024-02-19,1851.94,1858.84,1637.25,1659.38,42818,53,0
2024-02-20,1658.53,1805.21,1639.01,1801.16,42829,53,0
2024-02-21,1800.58,1996.2,1799.96,1966.19,42870,53,0
2024-02-22,1966.48,2045.75,1871.39,1985.03,42878,53,0
2024-02-23,1985.49,2049.65,1901.49,1915.16,42871,53,0
2024-02-24,1914.51,1950.23,1794.0,1823.59,42834,53,0
2024-02-25,1824.09,1864.39,1788.05,1826.08,42826,53,0
2024-02-26,1826.67,1900.15,1757.41,1853.91,42846,53,0
2024-02-27,1854.41,1929.66,1814.64,1915.79,42835,53,0
2024-02-28,1915.9,1927.27,1831.64,1851.66,42847,53,0
2024-02-29,1851.76,1997.61,1827.26,1890.92,42874,53,0
2024-03-01,1890.66,1940.33,1836.82,1848.02,42868,50,0
2024-03-02,1847.79,1898.25,1814.85,1816.25,42833,50,0
2024-03-03,1816.01,1951.04,1813.02,1931.26,42846,50,0
2024-03-04,1931.28,1955.56,1855.31,1907.77,42808,50,0
2024-03-05,1908.53,1936.18,1827.37,1902.4,42859,50,0
2024-03-06,1902.32,2019.68,1902.24,1917.39,42869,50,0
2024-03-07,1917.78,1919.36,1767.26,1810.05,42853,50,0
2024-03-08,1809.79,1844.98,1709.89,1791.18,42829,48,0
2024-03-09,1791.29,1962.51,1777.48,1946.89,42836,48,0
2024-03-10,1945.64,1976.14,1839.84,1868.02,42815,48,0
2024-03-11,1867.8,1875.67,1746.54,1793.76,42801,48,0
2024-03-12,1794.0,1855.63,1735.27,1838.59,42847,48,0
2024-03-13,1838.25,1906.75,1774.44,1783.55,42725,48,0
2024-03-14,1782.77,1804.46,1694.06,1729.27,42832,48,0
2024-03-15,1728.42,1894.0,1723.05,1868.2,42817,48,0
2024-03-16,1868.01,1894.53,1749.17,1778.95,42844,48,0
2024-03-17,1779.17,1875.04,1779.17,1826.76,42713,48,0
2024-03-18,1827.02,1927.43,1701.19,1907.89,42839,48,0
2024-03-19,1908.96,1949.88,1814.05,1942.46,42890,48,0
2024-03-20,1941.9,2031.07,1886.93,1903.91,42850,48,0
2024-03-21,1903.45,2030.01,1833.1,2029.25,42844,48,0
2024-03-22,2029.82,2074.72,1937.78,2041.43,42895,48,0
2024-03-23,2041.6,2055.94,1869.91,1892.8,42895,52,0
2024-03-24,1892.73,1938.74,1774.03,1829.03,42850,52,0
2024-03-25,1827.95,1891.71,1765.73,1863.58,42799,52,0
2024-03-26,1863.38,1927.18,1806.94,1865.77,42827,52,0
2024-03-27,1864.85,1947.51,1846.06,1866.15,42845,52,0
2024-03-28,1866.11,1875.52,1741.97,1822.48,42815,48,0
2024-03-29,1822.25,1896.07,1744.84,1777.04,42846,48,0
2024-03-30,1777.37,1786.5,1660.1,1666.3,42799,48,0
2024-03-31,1667.26,1706.69,1584.72,1590.67,42790,48,0
2024-04-01,1590.38,1597.98,1508.47,1529.81,42752,48,0
2024-04-02,1529.59,1579.74,1484.35,1559.7,42741,48,0
2024-04-03,1559.63,1596.56,1497.63,1566.8,42766,48,0
2024-04-04,1566.88,1573.06,1481.23,1521.36,42757,48,0
2024-04-05,1521.76,1660.01,1494.06,1633.63,42808,43,0
2024-04-06,1633.5,1806.69,1625.07,1670.25,42836,43,0
2024-04-07,1670.35,1702.55,1604.57,1621.77,42802,43,0
