time,action,price,units,balance
2021-01-28 08:00:00,BUY,1524.19,0.01640215458702655,25.0
2021-01-28 12:00:00,SELL,1552.72,0.01640215458702655,50.46795347036787
2021-01-28 17:00:00,BUY,1535.22,0.016436717040674256,25.233976735183937
2021-01-29 02:00:00,SELL,1635.07,0.016436717040674256,52.109159666879194
2021-01-29 03:00:00,BUY,1626.09,0.016022839961773085,26.0545798334396
2021-01-29 05:00:00,SELL,1640.39,0.016022839961773085,52.33828627833255
2021-01-29 17:00:00,BUY,1511.91,0.017308664628956933,26.169143139166277
2021-01-29 18:00:00,SELL,1529.18,0.017308664628956933,52.63720691647464
2021-01-29 21:00:00,BUY,1513.98,0.017383719374256805,26.31860345823732
2021-01-30 06:00:00,SELL,1572.46,0.017383719374256805,53.653806825481176
2021-01-30 10:00:00,BUY,1523.66,0.017606883040009312,26.826903412740585
2021-01-30 15:00:00,SELL,1608.86,0.017606883040009312,55.153913260489965
2021-01-30 18:00:00,BUY,1595.48,0.017284426398478818,27.57695663024498
2021-01-31 01:00:00,SELL,1617.75,0.017284426398478818,55.538837436384085
2021-01-31 13:00:00,BUY,1554.26,0.01786664954267114,27.769418718192043
2021-01-31 15:00:00,SELL,1561.11,0.01786664954267114,55.661223985751384
2021-01-31 16:00:00,BUY,1564.75,0.017785979864435655,27.830611992875692
2021-01-31 21:00:00,SELL,1580.4,0.017785979864435655,55.9395745706298
2021-01-31 22:00:00,BUY,1576.04,0.017746876529348813,27.969787285314897
2021-02-01 02:00:00,SELL,1580.28,0.017746876529348813,56.014821327114234
2021-02-01 09:00:00,BUY,1531.36,0.01828924006344499,28.007410663557113
2021-02-01 15:00:00,SELL,1661.74,0.01828924006344499,58.39937244658619
2021-02-01 21:00:00,BUY,1602.98,0.01821587681898283,29.199686223293096
2021-02-02 06:00:00,SELL,1666.44,0.01821587681898283,59.55535198951884
2021-02-02 12:00:00,BUY,1582.25,0.018819829985627694,29.77767599475942
2021-02-02 16:00:00,SELL,1591.46,0.018819829985627694,59.72868262368647
2021-02-02 17:00:00,BUY,1595.13,0.01872219901314829,29.864341311843233
2021-02-03 10:00:00,SELL,1699.66,0.01872219901314829,61.68571408653086
2021-02-03 16:00:00,BUY,1654.79,0.018638532407897937,30.842857043265433
2021-02-03 17:00:00,SELL,1684.06,0.018638532407897937,62.23126393011003
2021-02-03 22:00:00,BUY,1614.75,0.01926962809416629,31.115631965055016
2021-02-04 02:00:00,SELL,1637.13,0.01926962809416629,62.66251820685748
2021-02-04 08:00:00,BUY,1615.44,0.01939487638255134,31.33125910342874
2021-02-05 06:00:00,SELL,1844.93,0.01939487638255134,67.11344838788918
2021-02-05 10:00:00,BUY,1818.02,0.018457841054523378,33.55672419394459
2021-02-05 11:00:00,SELL,1839.45,0.018457841054523378,67.50899992168762
2021-02-05 15:00:00,BUY,1812.86,0.018619474179387162,33.75449996084381
2021-02-06 02:00:00,SELL,1893.19,0.018619474179387162,69.0047022825178
2021-02-06 07:00:00,BUY,1851.92,0.01863058401078821,34.5023511412589
2021-02-06 09:00:00,SELL,1836.31,0.01863058401078821,68.7138788661094
2021-02-06 10:00:00,BUY,1851.4,0.018557275269015176,34.3569394330547
2021-02-06 15:00:00,SELL,1871.72,0.018557275269015176,69.09096269957578
2021-02-06 17:00:00,BUY,1875.92,0.01841522098479034,34.54548134978789
2021-02-07 00:00:00,SELL,1902.85,0.01841522098479034,69.58688460069618
2021-02-07 01:00:00,BUY,1904.98,0.018264465926334184,34.79344230034809
2021-02-07 06:00:00,SELL,1934.53,0.018264465926334184,70.12659956881936
2021-02-07 07:00:00,BUY,1934.38,0.018126376298560613,35.06329978440968
2021-02-07 12:00:00,SELL,1940.38,0.018126376298560613,70.23535782661072
2021-02-07 17:00:00,BUY,1910.97,0.018376886561958253,35.11767891330536
2021-02-07 20:00:00,SELL,1934.11,0.018376886561958253,70.66059898165443
2021-02-08 06:00:00,BUY,1870.54,0.01888775406611311,35.330299490827215
2021-02-08 12:00:00,SELL,1911.61,0.01888775406611311,71.43631904114969
2021-02-08 21:00:00,BUY,1798.75,0.019857211686212562,35.718159520574844
2021-02-09 00:00:00,SELL,1837.46,0.019857211686212562,72.20499170552299
2021-02-09 03:00:00,BUY,1785.75,0.020216993337679682,36.10249585276149
2021-02-09 14:00:00,SELL,1849.32,0.020216993337679682,73.49018597199928
2021-02-09 16:00:00,BUY,1870.8,0.019641379616206777,36.74509298599964
2021-02-09 22:00:00,SELL,1901.16,0.019641379616206777,74.08649825714733
2021-02-09 23:00:00,BUY,1883.99,0.019662126194180257,37.04324912857366
2021-02-10 01:00:00,SELL,1891.87,0.019662126194180257,74.24143581155747
2021-02-10 08:00:00,BUY,1836.5,0.020212751378044503,37.12071790577873
2021-02-10 10:00:00,SELL,1830.58,0.020212751378044503,74.12177632339944
2021-02-10 12:00:00,BUY,1826.68,0.0202886592953882,37.06088816169972
2021-02-10 15:00:00,SELL,1867.37,0.0202886592953882,74.94732187012877
2021-02-10 23:00:00,BUY,1778.58,0.021069426697176617,37.47366093506439
2021-02-11 02:00:00,SELL,1822.33,0.021069426697176617,75.86910928813026
2021-02-11 04:00:00,BUY,1787.27,0.02122485950307739,37.93455464406513
2021-02-12 08:00:00,SELL,2108.51,0.02122485950307739,82.68738315489884
2021-02-12 12:00:00,BUY,2014.51,0.02052295177360719,41.34369157744942
2021-02-12 17:00:00,SELL,2078.11,0.02052295177360719,83.99264288770026
2021-02-12 19:00:00,BUY,2057.88,0.02040756576858229,41.99632144385013
2021-02-13 06:00:00,SELL,2186.25,0.02040756576858229,86.61236210541315
2021-02-13 12:00:00,BUY,2177.04,0.019892230300181245,43.30618105270658
2021-02-13 23:00:00,SELL,2212.9,0.019892230300181245,87.32569748397765
2021-02-14 06:00:00,BUY,2188.43,0.019951677111897034,43.662848741988824
2021-02-14 11:00:00,SELL,2236.82,0.019951677111897034,88.29115913942235
2021-02-14 13:00:00,BUY,2217.54,0.019907455815773863,44.145579569711174
2021-02-14 18:00:00,SELL,2335.06,0.019907455815773863,90.63068334689208
